date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_stimulus,PI_stimulus,PI_total,PI_shelter,total_valid_time,valid_frames,total_frames,tracking_point,error
20250824,Group4,c03,Basler_c03_acA2040-90um (24827095)_20250824_161014042DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Nothing,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250824,Group4,c04,Basler_c04_acA2040-90um (24827095)_20250824_162816232DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
20250827,Group5,c00,Basler_c00_acA2040-90um (24827095)_20250827_160321006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Feces,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250827,Group5,c01,Basler_c01_acA2040-90um (24827095)_20250827_134742816DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Iso,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250827,Group5,c02,Basler_c02_acA2040-90um (24827095)_20250827_140613973DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Iso,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
20250827,Group5,c03,Basler_c03_acA2040-90um (24827095)_20250827_154825174DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Feces,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250827,Group5,c04,Basler_c04_acA2040-90um (24827095)_20250827_144110654DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
20250826,Group6,c00,Basler_c00_acA2040-90um (24827095)_20250826_160636162DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Feces,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250826,Group6,c01,Basler_c01_acA2040-90um (24827095)_20250826_162921462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Iso,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250826,Group6,c02,Basler_c02_acA2040-90um (24827095)_20250826_165025681DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Iso,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
20250826,Group6,c03,Basler_c03_acA2040-90um (24827095)_20250826_141354344DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Feces,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250826,Group6,c04,Basler_c04_acA2040-90um (24827095)_20250826_144359069DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
20250829,Group7,c00,Basler_c00_acA2040-90um (24827095)_20250829_125126265DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Nothing,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250829,Group7,c01,Basler_c01_acA2040-90um (24827095)_20250829_115401362DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Iso,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250829,Group7,c02,Basler_c02_acA2040-90um (24827095)_20250829_123306184DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Nothing,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
20250829,Group7,c03,Basler_c03_acA2040-90um (24827095)_20250829_121529352DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Iso,1.0,0.012195121951219513,1.0,41.0,82,1201,body_end,
20250829,Group7,c04,Basler_c04_acA2040-90um (24827095)_20250829_113153034DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,0.0,0.0,0.0,426.5,853,1201,body_end,
20250828,Group8,c00,Basler_c00_acA2040-90um (24827095)_20250828_112809766DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Nothing,1.0,0.002364066193853428,1.0,423.0,846,1201,body_end,
20250828,Group8,c01,Basler_c01_acA2040-90um (24827095)_20250828_122245978DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Iso,1.0,0.0037209302325581397,1.0,537.5,1075,1201,body_end,
20250828,Group8,c02,Basler_c02_acA2040-90um (24827095)_20250828_120211006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Iso,1.0,0.00510204081632653,1.0,294.0,588,1201,body_end,
