video,date,batch,experiment_type,left_stimulus,right_stimulus,animal_id,error,time_right_s,percent_right_s,frames_right_s,time_top_ns,percent_top_ns,frames_top_ns,time_bottom_ns,percent_bottom_ns,frames_bottom_ns,time_left_s,percent_left_s,frames_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,PI_stimulus,PI_shelter_total,PI_left_right,PI_top_bottom,total_frames,valid_frames,valid_time,tracking_efficiency,avg_likelihood,tracking_point
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c02,,87.5,43.969849246231156,175,40.5,20.35175879396985,81,51.5,25.879396984924625,103,71.0,35.678391959798994,142,right_s,Nothing,-0.10410094637223975,0.3341708542713568,-0.10410094637223975,-0.11956521739130435,1199,398,199.0,33.19432860717264,0.9697142941268844,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c00,,131.5,58.05739514348785,263,72.0,31.788079470198678,144,42.5,18.76379690949227,85,53.0,23.399558498896248,106,right_s,Nothing,-0.4254742547425474,0.3090507726269316,-0.4254742547425474,0.2576419213973799,1199,453,226.5,37.7814845704754,0.9695260761589404,body_end
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c04,,57.5,35.16819571865443,115,57.0,34.862385321100916,114,29.0,17.737003058103976,58,70.5,43.11926605504588,141,left_s,Iso,0.1015625,0.25688073394495414,0.1015625,0.32558139534883723,1199,327,163.5,27.27272727272727,0.978508158925841,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c01,,230.5,68.70342771982116,461,34.0,10.134128166915051,68,165.0,49.18032786885246,330,56.5,16.84053651266766,113,right_s,Nothing,-0.6062717770034843,0.26229508196721313,-0.6062717770034843,-0.6582914572864321,1201,671,335.5,55.87010824313072,0.9698793777943369,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c03,,138.0,69.6969696969697,276,21.0,10.606060606060606,42,75.0,37.878787878787875,150,38.0,19.19191919191919,76,right_s,Nothing,-0.5681818181818182,0.40404040404040403,-0.5681818181818182,-0.5625,1201,396,198.0,32.97252289758534,0.9624109749842171,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c02,,62.5,27.53303964757709,125,46.0,20.26431718061674,92,33.0,14.537444933920703,66,110.5,48.6784140969163,221,left_s,Feces,0.2774566473988439,0.41409691629955947,0.2774566473988439,0.16455696202531644,1201,454,227.0,37.80183180682764,0.9666968526294053,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c00,,90.5,30.116472545757073,181,53.0,17.637271214642265,106,62.0,20.632279534109816,124,147.0,48.91846921797005,294,left_s,Feces,0.23789473684210527,0.40765391014975044,0.23789473684210527,-0.0782608695652174,1201,601,300.5,50.041631973355535,0.965525393874792,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c04,,65.5,25.68627450980392,131,31.5,12.352941176470589,63,70.0,27.450980392156865,140,134.0,52.54901960784314,268,left_s,Feces,0.3433583959899749,0.3843137254901961,0.3433583959899749,-0.3793103448275862,1201,510,255.0,42.464612822647794,0.9625268075980392,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c01,,166.0,44.56375838926174,332,61.0,16.375838926174495,122,166.5,44.69798657718121,333,122.5,32.88590604026846,245,bottom_ns,bottom_ns,-0.15077989601386482,0.16375838926174496,-0.15077989601386482,-0.46373626373626375,1201,745,372.5,62.031640299750215,0.9635565226510067,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c03,,151.0,45.96651445966514,302,140.0,42.6179604261796,280,62.5,19.025875190258752,125,76.0,23.13546423135464,152,right_s,Nothing,-0.3303964757709251,0.0745814307458143,-0.3303964757709251,0.38271604938271603,1201,657,328.5,54.70441298917569,0.9574058219178082,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c02,,224.0,54.969325153374236,448,151.0,37.05521472392638,302,102.5,25.153374233128833,205,108.5,26.625766871165645,217,right_s,Nothing,-0.3473684210526316,0.19386503067484662,-0.3473684210526316,0.1913214990138067,1201,815,407.5,67.8601165695254,0.9671485573236196,body_end
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c00,,207.5,49.81992797118848,415,112.5,27.010804321728692,225,121.5,29.17166866746699,243,150.5,36.134453781512605,301,right_s,Nothing,-0.15921787709497207,0.297719087635054,-0.15921787709497207,-0.038461538461538464,1201,833,416.5,69.35886761032472,0.952311393307323,body_end
