video,date,batch,experiment_type,left_stimulus,right_stimulus,animal_id,error,time_right_s,percent_right_s,frames_right_s,time_top_ns,percent_top_ns,frames_top_ns,time_bottom_ns,percent_bottom_ns,frames_bottom_ns,time_left_s,percent_left_s,frames_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,PI_stimulus,PI_shelter_total,PI_left_right,PI_top_bottom,total_frames,tracked_frames,tracking_point
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c01,,183.0,30.47460449625312,366,56.0,9.325562031640299,112,40.0,6.661115736885928,80,55.0,9.159034138218152,110,right_s,Nothing,-0.5378151260504201,0.23646960865945046,-0.5378151260504201,0.16666666666666666,1199,569,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c00,,91.0,15.154038301415488,182,54.0,8.992506244796003,108,62.0,10.32472939217319,124,152.0,25.31223980016653,304,left_s,Feces,0.25102880658436216,0.21149042464612822,0.25102880658436216,-0.06896551724137931,1201,614,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c03,,145.0,24.14654454621149,290,21.0,3.4970857618651126,42,76.5,12.73938384679434,153,41.0,6.827643630308076,82,right_s,Nothing,-0.5591397849462365,0.14737718567860117,-0.5591397849462365,-0.5692307692307692,1201,416,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c04,,67.0,11.15736885928393,134,32.0,5.328892589508743,64,77.0,12.822647793505412,154,150.5,25.062447960033307,301,left_s,Feces,0.3839080459770115,0.1806827643630308,0.3839080459770115,-0.41284403669724773,1201,551,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c02,,64.0,10.657785179017486,128,46.5,7.743547044129892,93,33.5,5.578684429641965,67,115.5,19.233971690258116,231,left_s,Feces,0.28690807799442897,0.16569525395503748,0.28690807799442897,0.1625,1201,469,body_end
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c01,,232.0,38.63447127393839,464,34.5,5.745212323064113,69,166.5,27.726894254787677,333,60.5,10.074937552039968,121,right_s,Nothing,-0.5863247863247864,0.1523730224812656,-0.5863247863247864,-0.6567164179104478,1201,682,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c00,,184.0,30.641132389675267,368,72.5,12.073272273105745,145,73.0,12.156536219816818,146,87.5,14.571190674437966,175,right_s,Feces,-0.35543278084714547,0.20982514571190675,-0.35543278084714547,-0.003436426116838488,1197,700,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c03,,62.5,10.407993338884262,125,23.0,3.8301415487094084,46,14.5,2.4146544546211492,29,67.5,11.240632805995004,135,left_s,Nothing,0.038461538461538464,0.1540383014154871,0.038461538461538464,0.22666666666666666,1197,287,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c04,,38.0,6.328059950041633,76,80.0,13.322231473771856,160,9.5,1.5820149875104081,19,21.5,3.5803497085761866,43,top_ns,top_ns,-0.2773109243697479,-0.04995836802664446,-0.2773109243697479,0.7877094972067039,1197,209,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c02,,79.0,13.155703580349709,158,37.5,6.244796003330558,75,26.5,4.412989175686928,53,90.5,15.070774354704414,181,left_s,Nothing,0.06784660766961652,0.17568692756036636,0.06784660766961652,0.171875,1197,383,body_end
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c01,,126.5,21.065778517901748,253,71.0,11.823480432972524,142,48.5,8.076602830974188,97,157.5,26.228143213988343,315,left_s,Nothing,0.10915492957746478,0.2739383846794338,0.10915492957746478,0.18828451882845187,1197,670,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c00,,147.5,24.56286427976686,295,71.5,11.906744379683596,143,81.0,13.488759367194007,162,155.0,25.81182348043297,310,left_s,Feces,0.024793388429752067,0.2497918401332223,0.024793388429752067,-0.06229508196721312,1201,770,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c03,,86.5,14.40466278101582,173,33.5,5.578684429641965,67,76.0,12.656119900083265,152,143.0,23.813488759367193,286,left_s,Feces,0.24618736383442266,0.19983347210657784,0.24618736383442266,-0.3881278538812785,1201,599,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c04,,100.0,16.65278934221482,200,40.5,6.744379683597003,81,134.5,22.398001665278937,269,120.0,19.983347210657783,240,bottom_ns,bottom_ns,0.09090909090909091,0.0749375520399667,0.09090909090909091,-0.5371428571428571,1201,667,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c02,,171.0,28.476269775187347,342,82.5,13.738551207327227,165,92.5,15.40383014154871,185,150.5,25.062447960033307,301,right_s,Nothing,-0.06376360808709176,0.24396336386344714,-0.06376360808709176,-0.05714285714285714,1201,758,body_end
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c01,,95.0,15.82014987510408,190,62.0,10.32472939217319,124,52.5,8.742714404662781,105,86.0,14.321398834304746,172,right_s,Nothing,-0.049723756906077346,0.11074104912572856,-0.049723756906077346,0.08296943231441048,1201,504,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c00,,94.0,15.653621981681932,188,30.0,4.995836802664446,60,50.0,8.32639467110741,100,208.0,34.63780183180683,416,left_s,Iso,0.37748344370860926,0.36969192339716905,0.37748344370860926,-0.25,1201,708,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c03,,114.5,19.06744379683597,229,49.5,8.243130724396336,99,133.5,22.231473771856784,267,137.5,22.89758534554538,275,left_s,Iso,0.09126984126984126,0.11490424646128226,0.09126984126984126,-0.45901639344262296,1201,779,body_end
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c04,,86.0,14.321398834304746,172,38.0,6.328059950041633,76,60.0,9.991673605328891,120,131.0,21.815154038301415,262,left_s,Iso,0.2073732718894009,0.19816819317235637,0.2073732718894009,-0.22448979591836735,1201,573,body_end
