date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,mean_speed_cm_s,max_speed_cm_s,std_speed_cm_s,median_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,mean_velocity_x,mean_velocity_y,movement_frames,stationary_frames,active_frames,mean_speed_left_shelter,max_speed_left_shelter,mean_speed_right_shelter,max_speed_right_shelter,mean_speed_open_area,max_speed_open_area,error
20250822,Group3,c00,Basler_c00_acA2040-90um (24827095)_20250822_161602073DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,9.811383904898987,117.79598362558566,14.414379296309471,7.96984212036123,5886.830342939392,29.835328407375226,0.005068148166212983,-0.012184244047619034,0.048209690476190364,1200,105,1095,3.0285050559005713,8.873975298056381,0.0,0.0,9.87199070546084,117.79598362558566,
20250822,Group3,c01,Basler_c01_acA2040-90um (24827095)_20250822_175401025DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,3.9314129548169423,122.54352127279067,7.92071687518561,0.7648357224214963,2358.8477728901644,63.09815142553264,0.026749564830214543,-0.09895821904761908,-0.03559003571428571,1200,521,679,0.0,0.0,0.0,0.0,3.9314129548169423,122.54352127279067,
20250822,Group3,c02,Basler_c02_acA2040-90um (24827095)_20250822_163928413DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,10.252874266325406,133.67994005254442,18.020747813585366,7.125106738391336,6151.724559795244,24.936004534206432,0.0040534982169351886,-0.03943199642857145,-0.013128285714285776,1200,117,1083,4.1991215271224975,9.13262665965833,6.492173233297672,8.696554206334175,10.30869566132178,133.67994005254442,
20250822,Group3,c03,Basler_c03_acA2040-90um (24827095)_20250822_181742703DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,12.534262512724338,130.16823135474053,14.94047023993056,10.184842621957406,7520.557507634602,55.85112895285266,0.0074264612558516555,-0.07879458547619057,0.04956077619047621,1200,68,1132,0.0,0.0,0.0,0.0,12.524205481335779,130.16823135474053,
20250822,Group3,c04,Basler_c04_acA2040-90um (24827095)_20250822_155841174DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,10.561476814363507,122.46095252708751,18.573630538874653,5.113895863717703,5507.81015869057,31.339920825424027,0.005690087334614089,-0.05784898712505143,0.01627854129571286,1043,246,797,7.213699583131282,10.385906251307166,1.8019059642736757,7.659164880265334,10.556848080896158,122.46095252708751,
20250824,Group4,c00,Basler_c00_acA2040-90um (24827095)_20250824_154602386DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,18.59827393041594,123.64012883364443,33.1179534725614,4.127353493152157,11158.964358249561,28.044191170064856,0.00251315357498498,0.014910077380952397,-0.04429838571428577,1200,272,928,0.0,0.0,0.0,0.0,18.575895932898707,123.64012883364443,
20250823,Group4,c01,Basler_c01_acA2040-90um (24827095)_20250823_184410043DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,1.5473928816925147,79.76853224615324,5.489905003722639,0.014375853935109852,928.4357290155087,31.547402888097654,0.03397909182313543,-0.018377045238095243,-0.04926292678571427,1200,889,311,0.0,0.0,2.4959505444075543,2.8671015240031634,1.535278225364647,79.76853224615324,
20250823,Group4,c02,Basler_c02_acA2040-90um (24827095)_20250823_180919059DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,9.201437211077874,122.88870973233306,25.668898212166003,0.1955967595304432,5520.862326646725,25.133458475268615,0.004552451589665747,-0.04173874702380958,0.0035459107142856777,1200,550,650,0.0,0.0,11.410761958996236,11.410761958996236,9.189321035691663,122.88870973233306,
20250824,Group4,c03,Basler_c03_acA2040-90um (24827095)_20250824_161014042DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,4.444532347748776,78.46100418231224,9.535581425968367,3.737405673791656,2666.7194086492664,28.949450846101854,0.01085582935805203,-0.04058779761904762,0.026088404761904774,1200,242,958,0.0,0.0,0.0,0.0,4.444532347748776,78.46100418231224,
20250824,Group4,c04,Basler_c04_acA2040-90um (24827095)_20250824_162816232DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,11.507625959321077,124.52471685121056,17.485090812270382,8.50318445888399,6904.575575592645,28.766020263036086,0.004166225707590577,0.04666056547619057,-0.01101626428571425,1200,198,1002,0.0,0.0,0.19012345411895368,0.19012345411895368,11.450570896260077,124.52471685121056,
20250827,Group5,c00,Basler_c00_acA2040-90um (24827095)_20250827_160321006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,9.796091537131504,122.51307940826973,17.317417646048558,4.905949144089082,5877.6549222789035,18.519547367475177,0.00315083951207784,0.007995375000000037,-0.02981238869047625,1200,207,993,0.7211608289938092,8.346145874760404,4.240459714393873,8.232748982457258,9.93233017405914,122.51307940826973,
20250827,Group5,c01,Basler_c01_acA2040-90um (24827095)_20250827_134742816DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,3.811229734446368,99.29577561139193,7.297270349360306,0.32804865367548985,2286.7378406678204,31.989311056436954,0.013989059212443335,0.05327511904761904,0.0020751374999999892,1200,509,691,3.8327838719247818,3.8327838719247818,1.84457495143991,1.84457495143991,3.773776233060178,99.29577561139193,
20250827,Group5,c02,Basler_c02_acA2040-90um (24827095)_20250827_140613973DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,4.586917092908945,123.94107717256031,9.468965723490644,2.963072667458788,2752.1502557453664,42.05624372852763,0.01528123097230297,0.056538898809523806,-0.0414304869047619,1200,75,1125,6.251092106136172,6.251092106136172,8.984583602876903,12.597008712060035,4.538726837587408,123.94107717256031,
20250827,Group5,c03,Basler_c03_acA2040-90um (24827095)_20250827_154825174DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,13.065395315602743,98.87430026827967,18.552802525726,3.6006324830861085,7839.237189361646,28.962904558816728,0.003694607505704926,-0.006100553571428542,-0.04788446190476189,1200,345,855,0.0,0.0,0.0,0.0,13.065395315602743,98.87430026827967,
20250827,Group5,c04,Basler_c04_acA2040-90um (24827095)_20250827_144110654DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,18.823496737563367,122.32128866056635,23.47685887716943,11.746079164045014,11294.09804253802,4.67690910275861,0.0004141020456121001,-0.001322777380952355,-0.007681791666666632,1200,174,1026,0.0,0.0,10.135334500907899,10.135334500907899,18.828489698931428,122.32128866056635,
20250826,Group6,c00,Basler_c00_acA2040-90um (24827095)_20250826_160636162DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,10.680060526283512,118.49120609769939,23.715985635093727,1.784771285993172,6408.036315770108,5.636072080992837,0.0008795318570718029,0.001319985714285714,-0.009300247619047628,1200,350,850,0.9080668781700993,0.9080668781700993,0.0,0.0,10.679819930214803,118.49120609769939,
20250826,Group6,c01,Basler_c01_acA2040-90um (24827095)_20250826_162921462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,14.101832334153645,120.73531074308258,12.83077400009236,11.76270100437905,8461.099400492185,17.730217535216074,0.002095498078439393,0.018540795238095223,0.023010059523809582,1200,104,1096,0.06436780920064954,0.1086799619647211,0.0,0.0,14.096594366285638,120.73531074308258,
20250826,Group6,c02,Basler_c02_acA2040-90um (24827095)_20250826_165025681DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,10.714918110631988,120.1892172325746,19.96302013663971,3.0089248121494756,6428.950866379193,25.712204289030314,0.003999440161145844,0.030534785714285716,0.030067660714285734,1200,390,810,0.0,0.0,6.913972192989571,6.913972192989571,10.716647363431518,120.1892172325746,
20250826,Group6,c03,Basler_c03_acA2040-90um (24827095)_20250826_141354344DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,2.9248789962176573,123.62142469995335,11.84975464829364,0.025998999128143754,1754.9273977305945,39.41428617354179,0.022459211830934345,0.029932050000000016,-0.05847487619047619,1200,750,450,9.599162853615395,9.599162853615395,4.777012537051589,10.719237976621235,2.861184393669472,123.62142469995335,
20250826,Group6,c04,Basler_c04_acA2040-90um (24827095)_20250826_144359069DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,15.973887635499569,132.0675531390799,27.33497109588791,4.093112626314548,9584.33258129974,24.751961916838326,0.0025825441372028944,-0.03265705952380941,-0.02520612500000002,1200,380,820,0.0,0.0,0.0,0.0,15.973887635499569,132.0675531390799,
20250829,Group7,c00,Basler_c00_acA2040-90um (24827095)_20250829_125126265DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,3.5888733435272737,114.13805162058318,10.296460374269936,1.9305762470764347,2153.324006116364,27.52045000764682,0.012780450099231204,-0.04585239940476188,0.0011736190476190642,1200,245,955,0.0,0.0,6.59487326916715,6.59487326916715,3.5775057706934166,114.13805162058318,
20250829,Group7,c01,Basler_c01_acA2040-90um (24827095)_20250829_115401362DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,2.9321441532811354,34.49609824792967,5.08245095097652,0.12884958440763822,1759.2864919686813,36.59648061704267,0.020801888029101153,0.05762102142857143,-0.02000255773809525,1200,573,627,0.0,0.0,0.0,0.0,2.9321441532811354,34.49609824792967,
