date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,mean_speed_cm_s,max_speed_cm_s,median_speed_cm_s,std_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,movement_frames,stationary_frames,active_frames,activity_ratio,total_frames,valid_frames,tracking_efficiency,avg_segment_length,max_segment_length,tracking_quality,tracking_point,error
20250824,Group4,c00,Basler_c00_acA2040-90um (24827095)_20250824_154602386DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,10.77599371223184,86.56286065443066,6.885879062488748,12.168819108292547,4472.0373905762135,28.044191170064856,0.0062710099940491365,830,140,690,0.8313253012048193,1201,831,0.6919233971690258,10.25925925925926,52,Medium,body_end,
20250823,Group4,c01,Basler_c01_acA2040-90um (24827095)_20250823_184410043DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,1.265600404738284,19.738121024054035,0.013791192860303001,2.6840722188128057,734.681034950574,31.547402888097654,0.04294027120248179,1161,880,281,0.24203273040482343,1201,1162,0.9675270607826811,52.81818181818182,887,High,body_end,
20250823,Group4,c02,Basler_c02_acA2040-90um (24827095)_20250823_180919059DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,4.092000393378174,33.03809661525724,2.843581165250488,4.753766252907515,1033.2300993279891,19.832466828009267,0.019194627451240787,505,122,383,0.7584158415841584,1201,506,0.42131557035803496,6.571428571428571,53,Low,body_end,
20250824,Group4,c03,Basler_c03_acA2040-90um (24827095)_20250824_161014042DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,6.166966120872652,77.63129032224438,3.726267190495276,9.484665221737831,1850.0898362617957,28.949450846101854,0.015647591959423845,600,127,473,0.7883333333333333,1201,601,0.5004163197335554,3.494186046511628,42,Low,body_end,
20250824,Group4,c04,Basler_c04_acA2040-90um (24827095)_20250824_162816232DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,10.194170289194188,49.39625337910875,8.875772589179437,9.246084211131352,5458.978189863489,28.766020263036086,0.005269488036506596,1071,183,888,0.8291316526610645,1201,1072,0.8925895087427144,13.743589743589743,105,High,body_end,
20250827,Group5,c00,Basler_c00_acA2040-90um (24827095)_20250827_160321006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,11.006267413690377,70.56484290313479,6.890210855725525,12.637330493252103,3665.0870487588954,22.276906526099545,0.006078138453394484,666,94,572,0.8588588588588588,1201,667,0.5553705245628643,3.7262569832402233,21,Low,body_end,
20250827,Group5,c01,Basler_c01_acA2040-90um (24827095)_20250827_134742816DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,4.967159514944108,42.39995094438346,1.9217685999981282,6.626060091957173,2073.7890974891648,31.989311056436954,0.015425537290734113,835,269,566,0.6778443113772455,1201,836,0.6960865945045795,8.36,43,Medium,body_end,
20250827,Group5,c02,Basler_c02_acA2040-90um (24827095)_20250827_140613973DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,4.4839254878049415,36.19937938992395,3.1483625018917984,4.690355415289625,2127.6226439634447,42.05624372852763,0.019766777651032658,949,59,890,0.9378292939936775,1201,950,0.791007493755204,6.551724137931035,65,Medium,body_end,
20250827,Group5,c03,Basler_c03_acA2040-90um (24827095)_20250827_154825174DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,12.684459341829855,87.08826807066905,6.783636317914194,15.460877846511872,5042.072588377368,28.962904558816728,0.00574424585349683,795,164,631,0.7937106918238994,1201,796,0.6627810158201499,12.838709677419354,84,Medium,body_end,
20250827,Group5,c04,Basler_c04_acA2040-90um (24827095)_20250827_144110654DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,16.772530216304137,94.33792989541983,14.167475814249396,15.31978741206908,7472.162211363493,4.67690910275861,0.0006259110777394626,891,95,796,0.8933782267115601,1201,892,0.742714404662781,7.559322033898305,48,Medium,body_end,
20250826,Group6,c00,Basler_c00_acA2040-90um (24827095)_20250826_160636162DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,5.109871155230931,37.4629253955727,1.9234240659203954,7.032572363017962,2158.920563085069,25.028329308060695,0.011592982963808332,845,266,579,0.685207100591716,1201,846,0.704412989175687,12.441176470588236,103,Medium,body_end,
20250826,Group6,c01,Basler_c01_acA2040-90um (24827095)_20250826_162921462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,14.88532400572487,78.87790587293757,12.867392463539666,12.225703739183603,7993.418991074255,13.147794238631445,0.0016448273577692792,1074,89,985,0.9171322160148976,1201,1075,0.8950874271440467,12.951807228915662,47,High,body_end,
20250826,Group6,c02,Basler_c02_acA2040-90um (24827095)_20250826_165025681DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,5.994478568683907,31.683576095255372,5.469236943551332,5.887372374697503,1759.3794599087269,25.712204289030314,0.01461435970746425,587,123,464,0.7904599659284497,1201,588,0.48959200666111574,12.25,125,Low,body_end,
20250826,Group6,c03,Basler_c03_acA2040-90um (24827095)_20250826_141354344DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,19.7521703224066,103.53470044427972,12.111940935971816,21.755992817691045,799.9628980574671,30.98819804224513,0.038737044077285475,81,3,78,0.9629629629629629,1201,82,0.06827643630308076,1.5769230769230769,5,Low,body_end,
