video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,tracking_efficiency,avg_likelihood,valid_frames,total_frames,percent_frames_analyzed,avg_segment_length,max_segment_length,min_segment_length,num_segments,tracking_quality,mean_speed_cm_s,max_speed_cm_s,min_speed_cm_s,median_speed_cm_s,std_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,mean_step_length_cm,mean_velocity_x,mean_velocity_y,std_velocity_x,std_velocity_y,stationary_frames,slow_frames,medium_frames,fast_frames,total_movement_frames,percent_stationary,percent_slow,percent_medium,percent_fast,activity_ratio,error
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c01,44.87072560467056,0.9713139303554833,538,1199,44.87072560467056,4.373983739837398,25,1,123,Poor,20.432874568478564,124.08460398708974,0.0006385256196212169,7.274798530697018,31.908083916086813,5486.226821636495,35.88258806533449,0.006540485698444203,10.21643728423928,0.13012463122360501,0.030454505216127067,30.02399746611871,23.11211583964511,61,75,57,344,537,11.359404096834265,13.966480446927374,10.614525139664805,64.05959031657356,0.8864059590316573,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c02,33.19432860717264,0.9697142941268844,398,1199,33.19432860717264,4.795180722891566,31,1,83,Poor,21.10745204935436,124.55002834348393,0.0014966778597984016,7.553640047221336,32.72413172864423,4189.829231796842,31.715083824603806,0.007569540921600411,10.55372602467718,-0.1396502439561357,0.07762378254739809,27.831749137824584,27.23529955216943,51,45,40,261,397,12.846347607052897,11.335012594458437,10.075566750629724,65.74307304785894,0.871536523929471,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c00,37.7814845704754,0.9695260761589404,453,1199,37.7814845704754,4.4411764705882355,24,1,102,Poor,22.915537742917778,125.69544753551068,0.0023928625917989032,11.660367151403076,29.46628875992414,5178.911529899417,22.61659214735169,0.004367055126695887,11.457768871458887,-0.06415755588999289,-0.07680167139103979,27.79247359745687,24.918917311477987,56,36,30,330,452,12.389380530973451,7.964601769911504,6.637168141592921,73.00884955752213,0.8761061946902655,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c04,27.27272727272727,0.978508158925841,327,1199,27.27272727272727,6.288461538461538,41,1,52,Poor,11.02544010480747,121.24537153532086,0.0014109190267229238,0.4016449481289871,24.64495575975881,1797.1467370836178,34.31310957584905,0.019093104011936073,5.512720052403735,-0.13683852681353065,-0.15996757460518107,19.86051384789848,18.28797006764974,142,30,30,124,326,43.558282208588956,9.202453987730062,9.202453987730062,38.036809815950924,0.5644171779141104,
Basler_G02_acA2040-90um (24827095)_20250820_161513132DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-20,2,Iso/Nothing,Iso,Nothing,individual_c03,25.18765638031693,0.9704266478683775,302,1199,25.18765638031693,6.425531914893617,25,1,47,Poor,8.733555889446444,117.5524885650717,0.0017385620243819194,1.2669541203494663,19.169197292865277,1314.4001613616897,51.61865199360016,0.0392716415525424,4.366777944723222,-0.2947024149412672,0.175460837155538,13.53379752714227,16.138519504664867,96,48,30,127,301,31.893687707641195,15.946843853820598,9.966777408637874,42.19269102990033,0.6810631229235881,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c01,58.368026644462944,0.9676195000445792,701,1201,58.368026644462944,6.740384615384615,48,1,104,Low,17.273523894079272,126.36677023365844,0.0018596070867995605,6.464227514625785,29.202636470012333,6045.733362927746,58.11149239523623,0.009611984007031164,8.636761947039636,0.1630885719766421,0.031129088109853334,25.34546397567589,22.55545374126403,122,65,63,450,700,17.42857142857143,9.285714285714286,9.0,64.28571428571429,0.8257142857142857,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c02,10.491257285595337,0.9723578559027778,126,1201,10.491257285595337,6.631578947368421,34,1,19,Poor,13.82537898122604,112.43722100171419,0.00413357739720995,3.305082352147335,26.58610632449369,864.0861863266273,0.8804106735816256,0.001018892197923446,6.912689490613018,0.004811427525111434,0.01323939732142858,21.944453227168744,20.40595323921274,43,8,8,66,125,34.4,6.4,6.4,52.800000000000004,0.656,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c00,63.53039134054954,0.9618878245822412,763,1201,63.53039134054954,5.9147286821705425,30,1,129,Low,18.08493140099361,123.06814370032643,0.002071380615234375,6.599351028920543,29.776417056293024,6890.358863778566,46.26512319629903,0.006714472222848485,9.042465700496807,0.10808961007941023,0.05533595562517572,27.309077644899567,21.630979849327158,133,91,66,472,762,17.454068241469816,11.94225721784777,8.661417322834646,61.942257217847775,0.8254593175853019,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c04,46.54454621149042,0.9658447702370304,559,1201,46.54454621149042,6.211111111111111,21,1,90,Poor,14.465639053503503,124.7779972187241,0.00041870839856106897,3.791412232212677,27.13052077506741,4035.9132959274784,11.315592672218257,0.002803725412940979,7.232819526751753,0.02589720820257473,0.03121313826584909,22.634439713212302,20.808660809772814,169,56,37,296,558,30.286738351254485,10.03584229390681,6.630824372759856,53.04659498207885,0.6971326164874552,
Basler_G06_acA2040-90um (24827095)_20250827_152835726DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-27,6,Iso/Feces,Feces,Iso,individual_c03,14.571190674437966,0.9658370535714286,175,1201,14.571190674437966,6.481481481481482,19,1,27,Poor,9.499743082079547,118.15788435644934,0.003481440334620598,3.9844044781413457,17.384472971926893,826.4776481409207,48.72698134531417,0.058957409743531086,4.749871541039774,-0.4074133761802138,0.384323070006222,14.784997705036945,13.174034010810717,52,19,10,93,174,29.88505747126437,10.919540229885058,5.747126436781609,53.44827586206896,0.7011494252873564,
