video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_odor,total_video_time,total_valid_time,total_frames,valid_frames,tracking_efficiency,avg_likelihood,frames_left_shelter,frames_right_shelter,error
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c04,0.0,5.5,284.0,0.0,1.8998272884283247,98.10017271157167,right_shelter,Feces,600.5,289.5,1201,579,48.2098251457119,0.9626747355354058,0,11,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c00,3.5,2.0,390.0,0.8849557522123894,0.5056890012642226,98.60935524652339,left_shelter,Nothing,600.5,395.5,1201,791,65.86178184845963,0.9738297299699747,7,4,
Basler_G03_acA2040-90um (24827095)_20250823_174448601DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-23,3,Feces/Nothing,Nothing,Feces,individual_c03,1.0,0.0,295.5,0.33726812816188867,0.0,99.6627318718381,left_shelter,Nothing,600.5,296.5,1201,593,49.37552039966695,0.9721160940134908,2,0,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c01,0.0,1.5,305.5,0.0,0.4885993485342019,99.51140065146579,right_shelter,Feces,600.5,307.0,1197,614,51.294903926482874,0.9666235112988599,0,3,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c02,0.0,2.5,173.5,0.0,1.4204545454545454,98.57954545454545,right_shelter,Feces,600.5,176.0,1197,352,29.406850459482037,0.9675417813387784,0,5,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c04,0.0,4.5,98.5,0.0,4.368932038834951,95.63106796116504,right_shelter,Feces,600.5,103.0,1197,206,17.20969089390142,0.9806062272451457,0,9,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c00,0.0,2.0,319.0,0.0,0.6230529595015576,99.37694704049844,right_shelter,Feces,600.5,321.0,1197,642,53.63408521303258,0.9686838310455608,0,4,
Basler_G09_acA2040-90um (24827095)_20250830_144838281DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-30,9,Feces/Nothing,Nothing,Feces,individual_c03,1.0,0.5,131.5,0.7518796992481203,0.37593984962406013,98.87218045112782,left_shelter,Nothing,600.5,133.0,1197,266,22.22222222222222,0.9561427984022557,2,1,
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c01,0.0,0.0,246.5,0.0,0.0,100.0,open_area,open_area,600.5,246.5,1201,493,41.04912572855953,0.9632224185471603,0,0,
Basler_G10_acA2040-90um (24827095)_20250831_150526766DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-31,10,Feces/Nothing,Feces,Nothing,individual_c02,1.0,0.5,371.0,0.2684563758389262,0.1342281879194631,99.5973154362416,left_shelter,Feces,600.5,372.5,1201,745,62.031640299750215,0.957575896602349,2,1,
