date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_stimulus,total_valid_time,valid_frames,total_frames,tracking_point,error
20250827,Group5,c00,Basler_c00_acA2040-90um (24827095)_20250827_160321006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,11.0,2.5,320.0,3.2983508245877062,0.7496251874062968,95.95202398800599,left_shelter,Feces,333.5,667,1201,body_end,
20250827,Group5,c01,Basler_c01_acA2040-90um (24827095)_20250827_134742816DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,0.5,0.5,417.0,0.11961722488038277,0.11961722488038277,99.76076555023924,open_area,open_area,418.0,836,1201,body_end,
20250827,Group5,c02,Basler_c02_acA2040-90um (24827095)_20250827_140613973DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,1.5,2.5,471.0,0.3157894736842105,0.5263157894736842,99.1578947368421,right_shelter,Iso,475.0,950,1201,body_end,
20250827,Group5,c03,Basler_c03_acA2040-90um (24827095)_20250827_154825174DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,0.0,0.0,398.0,0.0,0.0,100.0,open_area,open_area,398.0,796,1201,body_end,
20250827,Group5,c04,Basler_c04_acA2040-90um (24827095)_20250827_144110654DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,0.5,1.5,444.0,0.11210762331838565,0.336322869955157,99.55156950672645,right_shelter,Feces,446.0,892,1201,body_end,
20250826,Group6,c00,Basler_c00_acA2040-90um (24827095)_20250826_160636162DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,1.0,0.0,422.0,0.2364066193853428,0.0,99.76359338061465,left_shelter,Feces,423.0,846,1201,body_end,
20250826,Group6,c01,Basler_c01_acA2040-90um (24827095)_20250826_162921462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,2.0,0.0,535.5,0.37209302325581395,0.0,99.62790697674419,left_shelter,Iso,537.5,1075,1201,body_end,
20250826,Group6,c02,Basler_c02_acA2040-90um (24827095)_20250826_165025681DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,0.0,1.5,292.5,0.0,0.5102040816326531,99.48979591836735,right_shelter,Iso,294.0,588,1201,body_end,
20250826,Group6,c03,Basler_c03_acA2040-90um (24827095)_20250826_141354344DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,0.0,0.5,40.5,0.0,1.2195121951219512,98.78048780487805,right_shelter,Feces,41.0,82,1201,body_end,
20250826,Group6,c04,Basler_c04_acA2040-90um (24827095)_20250826_144359069DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,0.0,0.0,426.5,0.0,0.0,100.0,open_area,open_area,426.5,853,1201,body_end,
